JAVA_OPTS_KC_HEAP already set in environment; overriding default settings
Running the server in development mode. DO NOT use this configuration in production.
2026-09-09 00:00:47,563 INFO  [org.infinispan.CONTAINER] (main) ISPN000974: Virtual threads support: enabled
2026-09-09 00:00:49,589 INFO  [org.hibernate.orm.jdbc.batch] (JPA Startup Thread) HHH100501: Automatic JDBC statement batching enabled (maximum batch size 32)
2026-09-09 00:00:49,729 WARN  [org.keycloak.common.Profile] (main) Deprecated features identity-brokering-api:v1, twitter-broker:v1 enabled by default. Check the upgrading guide for steps to use later versions if available.
2026-09-09 00:00:51,501 INFO  [org.keycloak.quarkus.runtime.storage.database.liquibase.QuarkusJpaUpdaterProvider] (main) Initializing database schema. Using changelog META-INF/jpa-changelog-master.xml
2026-09-09 00:00:58,397 INFO  [org.infinispan.CONTAINER] (main) ISPN000556: Starting user marshaller 'org.infinispan.commons.marshall.ImmutableProtoStreamMarshaller'
2026-09-09 00:00:59,012 INFO  [org.keycloak.connections.infinispan.DefaultInfinispanConnectionProviderFactory] (main) Node name: node_975306, Site name: null, Cluster name: ISPN
2026-09-09 00:00:59,221 INFO  [org.keycloak.quarkus.runtime.storage.database.jpa.DatabaseIndexChecker] (db-index-checker) Running database index checker
2026-09-09 00:00:59,297 INFO  [org.keycloak.models.workflow.WorkflowsEventListenerFactory] (main) Workflow runner task scheduled: next execution at 12:00:59, then every PT12H
2026-09-09 00:00:59,559 INFO  [org.keycloak.exportimport.dir.DirImportProvider] (main) Importing from directory /…/keycloak_ad/kc/keycloak-26.7.3/bin/../data/import
2026-09-09 00:01:00,020 INFO  [org.keycloak.services] (main) KC-SERVICES0050: Initializing master realm
