t	truth	gyro_int	acc	comp
6.15	-0.03984	0.26920	0.03233	-0.01528
6.20	-0.02493	0.28662	-0.13966	-0.00725
6.25	-0.00995	0.30407	0.12008	0.00717
6.30	0.00504	0.32164	0.06639	0.02689
6.35	0.02003	0.33915	0.03760	0.03663
6.40	0.03496	0.35620	-0.07455	0.05086
6.45	0.04981	0.37382	0.02581	0.06766
6.50	0.06454	0.39173	0.06989	0.08655
6.55	0.07910	0.40870	0.17552	0.10348
6.60	0.09346	0.42548	-0.00093	0.11504
6.65	0.10759	0.44203	0.18269	0.13321
6.70	0.12145	0.45834	0.05293	0.14374
6.75	0.13501	0.47446	0.06949	0.15378
6.80	0.14823	0.49084	0.09777	0.16788
6.85	0.16108	0.50605	0.13643	0.17704
6.90	0.17353	0.52159	0.17304	0.19025
6.95	0.18555	0.53668	0.12654	0.20386
7.00	0.19710	0.55015	0.24756	0.21956
7.05	0.20815	0.56416	0.23481	0.22812
7.10	0.21869	0.57794	0.39962	0.24063
7.15	0.22868	0.59119	0.18035	0.24849
7.20	0.23810	0.60293	0.39671	0.27288
7.25	0.24692	0.61417	0.20028	0.27583
7.30	0.25513	0.62539	0.23029	0.29009
7.35	0.26270	0.63563	0.35863	0.29782
7.40	0.26961	0.64478	0.27161	0.30347
7.45	0.27585	0.65315	0.34986	0.31074
7.50	0.28140	0.66005	0.19090	0.31122
7.55	0.28625	0.66756	0.12963	0.31286
7.60	0.29038	0.67438	0.19792	0.30661
7.65	0.29378	0.67964	0.23301	0.30921
7.70	0.29645	0.68490	0.39919	0.31311
7.75	0.29838	0.68921	0.56685	0.32450
7.80	0.29956	0.69213	0.28627	0.32617
7.85	0.30000	0.69455	0.33567	0.32597
7.90	0.29968	0.69576	0.46639	0.32695
7.95	0.29862	0.69715	0.37387	0.32550
8.00	0.29681	0.69744	0.36756	0.32515
8.05	0.29425	0.69723	0.25023	0.33034
8.10	0.29097	0.69622	0.42942	0.33259
8.15	0.28695	0.69504	0.39183	0.32955
8.20	0.28222	0.69211	0.36080	0.32423
8.25	0.27678	0.68898	0.27918	0.31254
8.30	0.27065	0.68556	0.02667	0.30261
8.35	0.26385	0.68135	0.16005	0.28996
8.40	0.25638	0.67609	0.20938	0.27792
8.45	0.24827	0.67028	0.36373	0.27234
8.50	0.23955	0.66391	0.11583	0.25577
