t	zeta=0.2	zeta=0.707	zeta=1
3.34	0.73217	1.00878	0.99036
3.36	0.73514	1.00829	0.99069
3.38	0.73848	1.00781	0.99100
3.40	0.74219	1.00734	0.99131
3.42	0.74624	1.00689	0.99161
3.44	0.75064	1.00645	0.99190
3.46	0.75535	1.00602	0.99218
3.48	0.76039	1.00561	0.99245
3.50	0.76572	1.00522	0.99270
3.52	0.77134	1.00483	0.99296
3.54	0.77723	1.00446	0.99320
3.56	0.78338	1.00411	0.99343
3.58	0.78978	1.00376	0.99366
3.60	0.79642	1.00344	0.99388
3.62	0.80326	1.00312	0.99409
3.64	0.81032	1.00281	0.99429
3.66	0.81756	1.00252	0.99449
3.68	0.82498	1.00224	0.99468
3.70	0.83255	1.00197	0.99487
3.72	0.84027	1.00172	0.99504
3.74	0.84813	1.00147	0.99522
3.76	0.85610	1.00124	0.99538
3.78	0.86417	1.00102	0.99554
3.80	0.87233	1.00080	0.99570
3.82	0.88056	1.00060	0.99585
3.84	0.88885	1.00041	0.99599
3.86	0.89718	1.00023	0.99613
3.88	0.90555	1.00006	0.99626
3.90	0.91393	0.99989	0.99639
3.92	0.92232	0.99974	0.99652
3.94	0.93070	0.99960	0.99664
3.96	0.93905	0.99946	0.99676
3.98	0.94737	0.99933	0.99687
4.00	0.95564	0.99921	0.99698
4.02	0.96385	0.99910	0.99709
4.04	0.97199	0.99900	0.99719
4.06	0.98004	0.99890	0.99729
4.08	0.98799	0.99881	0.99738
4.10	0.99584	0.99873	0.99747
4.12	1.00357	0.99865	0.99756
4.14	1.01117	0.99858	0.99765
4.16	1.01864	0.99851	0.99773
4.18	1.02595	0.99846	0.99781
4.20	1.03311	0.99840	0.99789
4.22	1.04010	0.99836	0.99796
4.24	1.04692	0.99831	0.99803
4.26	1.05355	0.99828	0.99810
4.28	1.06000	0.99824	0.99817
4.30	1.06624	0.99822	0.99823
4.32	1.07228	0.99819	0.99829
4.34	1.07812	0.99817	0.99835
4.36	1.08373	0.99816	0.99841
4.38	1.08913	0.99814	0.99847
4.40	1.09429	0.99814	0.99852
4.42	1.09923	0.99813	0.99857
4.44	1.10392	0.99813	0.99863
4.46	1.10838	0.99813	0.99867
4.48	1.11260	0.99813	0.99872
4.50	1.11657	0.99814	0.99877
4.52	1.12029	0.99815	0.99881
4.54	1.12377	0.99816	0.99885
4.56	1.12699	0.99818	0.99889
4.58	1.12996	0.99819	0.99893
4.60	1.13267	0.99821	0.99897
4.62	1.13513	0.99823	0.99901
4.64	1.13734	0.99825	0.99904
4.66	1.13930	0.99827	0.99908
4.68	1.14100	0.99830	0.99911
4.70	1.14245	0.99832	0.99914
4.72	1.14365	0.99835	0.99917
4.74	1.14461	0.99838	0.99920
4.76	1.14532	0.99841	0.99923
4.78	1.14579	0.99844	0.99926
4.80	1.14602	0.99847	0.99928
4.82	1.14602	0.99850	0.99931
4.84	1.14578	0.99853	0.99933
4.86	1.14531	0.99856	0.99936
4.88	1.14463	0.99860	0.99938
4.90	1.14372	0.99863	0.99940
4.92	1.14260	0.99866	0.99942
4.94	1.14127	0.99870	0.99944
4.96	1.13974	0.99873	0.99946
4.98	1.13801	0.99876	0.99948
5.00	1.13609	0.99880	0.99950
5.02	1.13399	0.99883	0.99952
5.04	1.13170	0.99887	0.99954
5.06	1.12924	0.99890	0.99955
5.08	1.12662	0.99893	0.99957
5.10	1.12384	0.99897	0.99958
5.12	1.12090	0.99900	0.99960
5.14	1.11782	0.99903	0.99961
5.16	1.11460	0.99907	0.99963
5.18	1.11125	0.99910	0.99964
5.20	1.10778	0.99913	0.99965
5.22	1.10419	0.99916	0.99967
5.24	1.10049	0.99919	0.99968
5.26	1.09669	0.99922	0.99969
5.28	1.09280	0.99925	0.99970
5.30	1.08882	0.99928	0.99971
5.32	1.08477	0.99931	0.99972
5.34	1.08064	0.99934	0.99973
5.36	1.07646	0.99937	0.99974
5.38	1.07221	0.99940	0.99975
5.40	1.06792	0.99942	0.99976
5.42	1.06359	0.99945	0.99977
5.44	1.05923	0.99948	0.99978
5.46	1.05485	0.99950	0.99978
5.48	1.05044	0.99953	0.99979
5.50	1.04603	0.99955	0.99980
