# 조립기가 만든다 — 손으로 고치지 말 것.
# 키	절
blog-testing-time	Time stops when a bubble’s root goroutine returns
blog-toolchain	Forward Compatibility
blog-toolchain	Toolchain Management
blog-toward-go2	Example: Alias declarations
blog-toward-go2	Example: Leap seconds
blog-toward-go2	Experience reports
blog-toward-go2	Goals
blog-toward-go2	Introduction
blog-type-construction-and-cycle-detection	Conclusion
blog-type-construction-and-cycle-detection	Type Construction and Cycle Detection
blog-unique	A real-world example
blog-unique	Enter the unique package
blog-versioning-proposal	Introduction
blog-versioning-proposal	The Impact of Compatibility
blog-wasmexport	Extensible Wasm Applications with Go
blog-when-generics	For type parameters, prefer functions to methods
blog-when-generics	General purpose data structures
blog-when-generics	One simple guideline
blog-when-generics	Write code
blog-why-generics	Benefits and costs
blog-why-generics	Contracts
blog-why-generics	Draft design
blog-why-generics	Go generic programming today
blog-why-generics	Introduction
blog-why-generics	Preserve clarity and simplicity of Go
blog-why-generics	Why generics?
faq	How are generics implemented in Go?
faq	What are Go’s ancestors?
faq	What are the guiding principles in the design?
faq	What is the history of the project?
faq	When did Go get generic types?
faq	Why build concurrency on the ideas of CSP?
faq	Why did you create a new language?
faq	Why does Go not have assertions?
faq	Why does Go not have exceptions?
faq	Why does Go not have feature X?
faq	Why does Go not provide implicit numeric conversions?
faq	Why does Go not support methods with type parameters?
faq	Why does Go not support overloading of methods and operators?
faq	Why does Go use square brackets for type parameter lists?
faq	Why doesn’t Go have “implements” declarations?
faq	Why is there no type inheritance?
faq	Why was Go initially released without generic types?
go1compat	Expectations
go1compat	Introduction
godebug	Default GODEBUG Values
godebug	GODEBUG History
godebug	Go 1.18
godebug	Go 1.19
godebug	Go 1.20
godebug	Go 1.22
godebug	Go 1.23
godebug	Go 1.25
godebug	Go 1.26
godebug	Go 1.27
godebug	Go 1.5
godebug	Go 1.6
godebug	Introduction
proposal-README	The Proposal Process
release	go1 (released 2012-03-28)
relnotes-1.0	Append
relnotes-1.0	Close
relnotes-1.0	Composite literals
relnotes-1.0	Copying structs with unexported fields
relnotes-1.0	Deleting from maps
relnotes-1.0	Equality
relnotes-1.0	Goroutines during init
relnotes-1.0	Introduction to Go 1
relnotes-1.0	Iterating in maps
relnotes-1.0	Multiple assignment
relnotes-1.0	Packaged releases
relnotes-1.0	Packages moving to subrepositories
relnotes-1.0	Returns and shadowed variables
relnotes-1.0	The error type
relnotes-1.0	The error type and errors package
relnotes-1.0	The go command
relnotes-1.0	The package hierarchy
relnotes-1.0	The package tree exp
relnotes-1.0	The rune type
relnotes-1.0	Time
relnotes-1.1	Build constraints
relnotes-1.1	Heap size on 64-bit architectures
relnotes-1.1	Integer division by zero
relnotes-1.1	Introduction to Go 1.1
relnotes-1.1	Method values
relnotes-1.1	Minor changes to the library
relnotes-1.1	Performance
relnotes-1.1	Race detector
relnotes-1.1	Return requirements
relnotes-1.1	Size of int on 64-bit platforms
relnotes-1.1	Unicode
relnotes-1.1	bufio.Scanner
relnotes-1.1	reflect
relnotes-1.1	time
relnotes-1.10	Build & Install
relnotes-1.10	Cgo
relnotes-1.10	Fix
relnotes-1.10	Garbage Collector
relnotes-1.10	Gofmt
relnotes-1.10	Introduction to Go 1.10
relnotes-1.10	Runtime
relnotes-1.10	Standard library
relnotes-1.10	Test
relnotes-1.10	bytes
relnotes-1.10	net/url
relnotes-1.10	strings
relnotes-1.11	Changes to the language
relnotes-1.11	Compiler toolchain
relnotes-1.11	Go command
relnotes-1.11	Introduction to Go 1.11
relnotes-1.11	Modules, package versioning, and dependency management
relnotes-1.11	Run
relnotes-1.11	Vet
relnotes-1.11	WebAssembly
relnotes-1.11	crypto/x509
relnotes-1.11	os
relnotes-1.11	text/template
relnotes-1.11	time
relnotes-1.12	Changes to the language
relnotes-1.12	Compiler toolchain
relnotes-1.12	Introduction to Go 1.12
relnotes-1.12	Modules
relnotes-1.12	Runtime
relnotes-1.12	TLS 1.3
relnotes-1.12	fmt
relnotes-1.12	godoc and go doc
relnotes-1.12	io
relnotes-1.12	math/bits
relnotes-1.12	os
relnotes-1.12	reflect
relnotes-1.12	runtime/debug
relnotes-1.12	strings
relnotes-1.12	testing
relnotes-1.13	Changes to the language
relnotes-1.13	Environment variables
relnotes-1.13	Error wrapping
relnotes-1.13	Go command
relnotes-1.13	Introduction to Go 1.13
relnotes-1.13	Runtime
relnotes-1.13	TLS 1.3
relnotes-1.13	crypto/ed25519
relnotes-1.13	crypto/tls
relnotes-1.13	errors
relnotes-1.13	fmt
relnotes-1.13	godoc and go doc
relnotes-1.13	gofmt
relnotes-1.13	math/bits
relnotes-1.13	reflect
relnotes-1.13	strconv
relnotes-1.13	strings
relnotes-1.13	syscall
relnotes-1.13	time
relnotes-1.14	Changes to the language
relnotes-1.14	Introduction to Go 1.14
relnotes-1.14	New byte sequence hashing package
relnotes-1.14	Runtime
relnotes-1.14	Testing
relnotes-1.14	Vendoring
relnotes-1.14	crypto/tls
relnotes-1.14	log
relnotes-1.14	math
relnotes-1.14	strconv
relnotes-1.14	testing
relnotes-1.15	Compiler
relnotes-1.15	Go command
relnotes-1.15	Introduction to Go 1.15
relnotes-1.15	Linker
relnotes-1.15	Module cache
relnotes-1.15	New embedded tzdata package
relnotes-1.15	New warning for impossible interface conversions
relnotes-1.15	New warning for string(x)
relnotes-1.15	Runtime
relnotes-1.15	X.509 CommonName deprecation
relnotes-1.15	flag
relnotes-1.15	net/url
relnotes-1.15	os
relnotes-1.15	regexp
relnotes-1.15	strconv
relnotes-1.15	testing
relnotes-1.16	386
relnotes-1.16	Darwin and iOS
relnotes-1.16	Deprecation of io/ioutil
relnotes-1.16	Embedded Files
relnotes-1.16	Embedding Files
relnotes-1.16	File Systems
relnotes-1.16	GOVCS environment variable
relnotes-1.16	Introduction to Go 1.16
relnotes-1.16	Linker
relnotes-1.16	Modules
relnotes-1.16	NetBSD
relnotes-1.16	New warning for invalid testing.T use in goroutines
relnotes-1.16	OpenBSD
relnotes-1.16	Runtime
relnotes-1.16	crypto/x509
relnotes-1.16	flag
relnotes-1.16	go/build/constraint
relnotes-1.16	log
relnotes-1.16	net
relnotes-1.16	os/signal
relnotes-1.16	time/tzdata
relnotes-1.17	//go:build lines
relnotes-1.17	Changes to the language
relnotes-1.17	Compiler
relnotes-1.17	Gofmt
relnotes-1.17	Module deprecation comments
relnotes-1.17	New warning for calling signal.Notify on unbuffered channels
relnotes-1.17	New warning for mismatched //go:build and // +build lines
relnotes-1.17	New warnings for Is, As and Unwrap methods
relnotes-1.17	Pruned module graphs in go 1.17 modules
relnotes-1.17	URL query parsing
relnotes-1.17	crypto/x509
relnotes-1.17	go get
relnotes-1.17	go run
relnotes-1.17	go.mod files missing go directives
relnotes-1.17	math
relnotes-1.17	net
relnotes-1.17	net/url
relnotes-1.17	reflect
relnotes-1.17	runtime/metrics
relnotes-1.17	strconv
relnotes-1.17	sync/atomic
relnotes-1.17	testing
relnotes-1.17	time
relnotes-1.18	//go:build lines
relnotes-1.18	Automatic go.mod and go.sum updates
relnotes-1.18	Bug fixes
relnotes-1.18	Compiler
relnotes-1.18	Fuzzing
relnotes-1.18	Generics
relnotes-1.18	Gofmt
relnotes-1.18	Introduction to Go 1.18
relnotes-1.18	New debug/buildinfo package
relnotes-1.18	New net/netip package
relnotes-1.18	Rejecting SHA-1 certificates
relnotes-1.18	Runtime
relnotes-1.18	TLS 1.0 and 1.1 disabled by default client-side
relnotes-1.18	Updates for Generics
relnotes-1.18	go get
relnotes-1.18	go test
relnotes-1.18	go version
relnotes-1.18	go work
relnotes-1.18	golang.org/x/exp/slices
relnotes-1.18	reflect
relnotes-1.18	strings
relnotes-1.18	sync
relnotes-1.18	text/template
relnotes-1.18	unicode/utf8
relnotes-1.19	Changes to the language
relnotes-1.19	Compiler
relnotes-1.19	Doc Comments
relnotes-1.19	Go command
relnotes-1.19	Introduction to Go 1.19
relnotes-1.19	Memory Model
relnotes-1.19	New atomic types
relnotes-1.19	New unix build constraint
relnotes-1.19	PATH lookups
relnotes-1.19	Runtime
relnotes-1.19	Vet
relnotes-1.19	crypto/tls
relnotes-1.19	encoding/binary
relnotes-1.19	flag
relnotes-1.19	fmt
relnotes-1.19	net
relnotes-1.19	net/url
relnotes-1.19	runtime/race
relnotes-1.19	sort
relnotes-1.19	time
relnotes-1.2	Changes to the gc compiler and linker
relnotes-1.2	Introduction to Go 1.2
relnotes-1.2	Limit on the number of threads
relnotes-1.2	Minor changes to the library
relnotes-1.2	Pre-emption in the scheduler
relnotes-1.2	Stack size
relnotes-1.2	Test coverage
relnotes-1.2	The fmt package
relnotes-1.2	The go doc command is deleted
relnotes-1.2	The new encoding package
relnotes-1.2	The text/template and html/template packages
relnotes-1.2	Three-index slices
relnotes-1.2	Use of nil
relnotes-1.20	Bootstrap
relnotes-1.20	Cgo
relnotes-1.20	Changes to the language
relnotes-1.20	Compiler
relnotes-1.20	Cover
relnotes-1.20	Darwin and iOS
relnotes-1.20	Go command
relnotes-1.20	HTTP ResponseController
relnotes-1.20	Improved detection of loop variable capture by nested functions
relnotes-1.20	Introduction to Go 1.20
relnotes-1.20	Linker
relnotes-1.20	New ReverseProxy Rewrite hook
relnotes-1.20	New crypto/ecdh package
relnotes-1.20	New diagnostic for incorrect time formats
relnotes-1.20	Runtime
relnotes-1.20	Windows
relnotes-1.20	Wrapping multiple errors
relnotes-1.20	archive/zip
relnotes-1.20	context
relnotes-1.20	crypto/ecdsa
relnotes-1.20	crypto/rsa
relnotes-1.20	go/types
relnotes-1.20	math/big
relnotes-1.20	math/rand
relnotes-1.20	path/filepath
relnotes-1.20	strings
relnotes-1.20	sync
relnotes-1.20	time
relnotes-1.21	Changes to the language
relnotes-1.21	Compiler
relnotes-1.21	Go command
