# termux-app 태그마다의 minSdk·targetSdk — 태그의 app/build.gradle(없으면 gradle.properties)
# 에서 grep 으로 뽑았다(git show <tag>:app/build.gradle). date 는 태그 커밋의 커밋 날짜.
tag	date	min-sdk	target-sdk	source
v0.113	2021-05-16	24	28	git show v0.113:app/build.gradle (termux-app)
v0.114	2021-06-11	24	28	git show v0.114:app/build.gradle (termux-app)
v0.115	2021-07-01	24	28	git show v0.115:app/build.gradle (termux-app)
v0.116	2021-07-01	24	28	git show v0.116:app/build.gradle (termux-app)
v0.117	2021-07-08	24	28	git show v0.117:app/build.gradle (termux-app)
v0.118.0	2022-01-08	24	28	git show v0.118.0:app/build.gradle (termux-app)
v0.118.1	2024-06-18	24	28	git show v0.118.1:app/build.gradle (termux-app)
v0.119.0-beta.1	2024-06-18	21	28	git show v0.119.0-beta.1:app/build.gradle (termux-app)
v0.118.2	2025-03-29	24	28	git show v0.118.2:app/build.gradle (termux-app)
v0.119.0-beta.2	2025-03-29	21	28	git show v0.119.0-beta.2:app/build.gradle (termux-app)
v0.118.3	2025-05-23	24	28	git show v0.118.3:app/build.gradle (termux-app)
v0.119.0-beta.3	2025-05-23	21	28	git show v0.119.0-beta.3:app/build.gradle (termux-app)
