# 플러그인 앱. first-release 는 data/releases.tsv 의 첫 GitHub 릴리스. package-id 는 각 앱 매니페스트(4·7부에서 SRC 로 인용).
plugin	package-id	purpose	first-release	source
Termux:API	com.termux.api	안드로이드 기능(배터리·클립보드·센서 등)을 명령줄에 내준다	2015-07-26 v0.2	readme-termux-app 1.2 · readme-termux-api
Termux:Boot	com.termux.boot	기기가 켜질 때 스크립트를 실행한다	2017-08-03 v0.2	readme-termux-app 1.2 · readme-termux-boot
Termux:Float	com.termux.window	떠 있는 창에서 터미널을 연다	2017-04-05 v0.8	readme-termux-app 1.2 · readme-termux-float
Termux:Styling	com.termux.styling	색 배합과 글꼴을 바꾼다	2015-12-19 v0.7	readme-termux-app 1.2 · readme-termux-styling
Termux:Tasker	com.termux.tasker	Tasker 같은 자동화 앱에서 스크립트를 부른다	2016-12-26 v0.1	readme-termux-app 1.2 · readme-termux-tasker
Termux:Widget	com.termux.widget	홈 화면 위젯·바로가기로 스크립트를 부른다	2015-12-19 v0.3	readme-termux-app 1.2 · readme-termux-widget
Termux:X11	com.termux.x11	X 서버 앱(그래픽 프로그램의 창)	2026-09-17 nightly(목록에 남은 유일한 릴리스)	readme-termux-x11
