# apt 저장소 계층. url 은 저장소 패키지의 build.sh 와 Mirrors 위키에서. 지문은 6단계 apt_sources 캡처에서 채운다.
apt-repo	package	url	signing-key-fingerprint	source
main	(부트스트랩에 포함)	https://packages.termux.dev/apt/termux-main stable main		gh-packages-mirrors 2.2
x11	x11-repo	https://packages-cf.termux.dev/apt/termux-x11/ x11 main		termux-packages packages/x11-repo/build.sh
root	root-repo	https://packages-cf.termux.dev/apt/termux-root/ root stable		termux-packages packages/root-repo/build.sh
glibc	glibc-repo	https://packages-cf.termux.dev/apt/termux-glibc/ glibc stable		termux-packages packages/glibc-repo/build.sh
tur	tur-repo	https://tur.kcubeterm.com tur-packages tur tur-on-device tur-continuous		termux-packages packages/tur-repo/build.sh
